,platform,genre,title,score
229,                                        Wii U,platformer,Shantae: Half-Genie Hero,80
230,                                        PC,platformer,Lovers in a Dangerous Spacetime,80
231,                                        Xbox One,platformer,Shantae: Half-Genie Hero,80
232,                                        Game Boy Advance,platformer,The Legend of Spyro: The Eternal Night,80
233,                                        Wii U,platformer,Mighty Switch Force! Hyper Drive Edition,80
234,                                        3DS,platformer,Mutant Mudds,80
235,                                        Xbox,platformer,Mega Man Anniversary Collection,80
236,                                        PlayStation 3,platformer,PixelJunk Eden,80
237,                                        PlayStation 3,platformer,Puppeteer,80
238,                                        PC,platformer,La-Mulana (Remake),80
239,                                        Game Boy Advance,platformer,Disney's Lilo & Stitch,80
240,                                        Xbox 360,platformer,Skylanders Giants,80
241,                                        PSP,platformer,Castlevania: The Dracula X Chronicles,80
242,                                        Wii U,platformer,Skylanders Giants,80
243,                                        Wii,platformer,A Boy and His Blob,80
244,                                        Game Boy Advance,platformer,Donkey Kong Country 2,80
245,                                        Xbox 360,platformer,Cloning Clyde,80
246,                                        PC,platformer,Stealth Bastard Deluxe,80
247,                                        PC,platformer,Candle,80
248,                                        Xbox,platformer,Oddworld: Munch's Oddysee,80
249,                                        PC,platformer,Gish,80
250,                                        PlayStation 3,platformer,Stealth Inc: A Clone in the Dark,80
251,                                        Game Boy Advance,platformer,Kirby & the Amazing Mirror,80
252,                                        PlayStation 3,platformer,Thomas Was Alone,80
253,                                        PC,platformer,CAPSIZED,80
254,                                        PlayStation 3,platformer,Sonic CD,80
255,                                        PC,platformer,140,80
256,                                        PC,platformer,Dustforce,79
257,                                        Xbox 360,platformer,Banjo-Kazooie: Nuts & Bolts,79
258,                                        DS,platformer,Sonic Colors,79
259,                                        Xbox 360,platformer,Mega Man 10,79
260,                                        PC,platformer,Super House of Dead Ninjas,79
261,                                        PlayStation 4,platformer,Skylanders Swap Force,79
262,                                        Xbox 360,platformer,Sonic the Hedgehog 3,79
263,                                        PlayStation Vita,platformer,Knytt Underground,79
264,                                        PC,platformer,Valiant Hearts: The Great War,79
265,                                        PlayStation 3,platformer,Stick it to the Man!,79
266,                                        Game Boy Advance,platformer,Tak and the Power of Juju,79
267,                                        DS,platformer,Monster Tale,79
268,                                        DS,platformer,Mario vs. Donkey Kong: Mini-Land Mayhem,79
269,                                        Game Boy Advance,platformer,Mega Man & Bass,79
270,                                        Wii U,platformer,Teslagrad,79
271,                                        PC,platformer,Waking Mars,79
272,                                        iOS,platformer,Car Toons!,79
273,                                        PC,platformer,Trine 2: Goblin Menace,79
274,                                        Game Boy Advance,platformer,Sonic Advance 3,79
275,                                        Wii,platformer,de Blob 2,79
276,                                        DS,platformer,Spider-Man 3,79
277,                                        PSP,platformer,N+,79
278,                                        Xbox 360,platformer,Marble Blast Ultra,79
279,                                        3DS,platformer,Mighty Switch Force!,79
280,                                        PSP,platformer,Mega Man Maverick Hunter X,79
281,                                        PC,platformer,Apotheon,78
282,                                        Xbox 360,platformer,Skylanders: Spyro's Adventure,78
283,                                        Wii U,platformer,Yoshi's Woolly World,78
284,                                        Wii U,platformer,Angry Video Game Nerd Adventures,78
285,                                        Wii,platformer,Castlevania: The Adventure ReBirth,78
286,                                        PC,platformer,Closure,78
287,                                        Game Boy Advance,platformer,Donkey Kong Country,78
288,                                        Game Boy Advance,platformer,Super Ghouls 'n Ghosts,78
289,                                        PlayStation 4,platformer,1001 Spikes,78
290,                                        3DS,platformer,Fluidity: Spin Cycle,78
291,                                        3DS,platformer,Mario and Donkey Kong: Minis on the Move,78
292,                                        DS,platformer,Sonic Rush Adventure,78
293,                                        PlayStation Vita,platformer,Stealth Inc: A Clone in the Dark,78
294,                                        Wii,platformer,New Play Control! Donkey Kong Jungle Beat,78
295,                                        iOS,platformer,Infinity Blade III,78
296,                                        DS,platformer,Mega Man ZX Advent,78
297,                                        Wii,platformer,Sonic Colors,78
298,                                        DS,platformer,Mega Man Zero Collection,78
299,                                        PlayStation Vita,platformer,Thomas Was Alone,78
300,                                        3DS,platformer,New Super Mario Bros. 2,78
301,                                        Wii,platformer,Wario Land: Shake It!,78
302,                                        PC,platformer,Deadlight,78
303,                                        Wii,platformer,Skylanders Giants,78
304,                                        PlayStation 3,platformer,Mega Man 10,78
305,                                        Nintendo 64,platformer,Castlevania,78
