,platform,genre,title,score
258,                                        PlayStation 3,third-person,Spec Ops: The Line,77
259,                                        PlayStation 4,third-person,11-11: Memories Retold,77
260,                                        Xbox,third-person,Broken Sword: The Sleeping Dragon,77
261,                                        PlayStation 4,third-person,Vanquish,77
262,                                        PlayStation 3,third-person,Dead Nation,77
263,                                        Xbox 360,third-person,Stranglehold,77
264,                                        PC,third-person,Lost Horizon,77
265,                                        Xbox One,third-person,L.A. Noire,77
266,                                        PC,third-person,Anachronox,77
267,                                        PlayStation 3,third-person,Transformers: War for Cybertron,77
268,                                        Xbox 360,third-person,The Gunstringer,77
269,                                        iOS,third-person,BATTLE BEARS -1,77
270,                                        Xbox One,third-person,Dreamfall Chapters,77
271,                                        PC,third-person,We Were Here Together,77
272,                                        PC,third-person,Stranglehold,77
273,                                        PlayStation 4,third-person,Remnant: From the Ashes,77
274,                                        Xbox,third-person,Brute Force,77
275,                                        PlayStation 3,third-person,Stranglehold,77
276,                                        GameCube,third-person,Dead to Rights,77
277,                                        3DS,third-person,Attack of the Friday Monsters! A Tokyo Tale,77
278,                                        PlayStation 3,third-person,Transformers: Fall of Cybertron,77
279,                                        Xbox,third-person,Sniper Elite,77
280,                                        Xbox One,third-person,D4: Dark Dreams Don't Die,76
281,                                        PlayStation 2,third-person,Sniper Elite,76
282,                                        Switch,third-person,"Guns, Gore & Cannoli 2",76
283,                                        Xbox 360,third-person,Transformers: War for Cybertron,76
284,                                        PC,third-person,LawBreakers,76
285,                                        Game Boy Advance,third-person,Tom Clancy's Rainbow Six: Rogue Spear,76
286,                                        PlayStation 4,third-person,Pode,76
287,                                        Xbox 360,third-person,Spec Ops: The Line,76
288,                                        Wii,third-person,Endless Ocean: Blue World,76
289,                                        Switch,third-person,Last Day of June,76
290,                                        Switch,third-person,Morphies Law: Remorphed,76
291,                                        PC,third-person,Bone: The Great Cow Race,76
292,                                        PC,third-person,Earth Defense Force 5,76
293,                                        iOS,third-person,Back to the Future Ep 2 HD,76
294,                                        iOS,third-person,Fahrenheit: Indigo Prophecy Remastered,76
295,                                        PlayStation 3,third-person,Back to the Future: The Game - Episode III: Citizen Brown,76
296,                                        iOS,third-person,Broken Age: Act 1,76
297,                                        PlayStation 4,third-person,L.A. Noire,76
298,                                        Switch,third-person,Syberia,76
299,                                        Xbox One,third-person,World of Tanks,76
300,                                        Xbox 360,third-person,The Club,76
301,                                        PC,third-person,Spec Ops: The Line,76
302,                                        Xbox One,third-person,Plants vs. Zombies: Battle for Neighborville,76
303,                                        Wii U,third-person,Octodad: Dadliest Catch,76
304,                                        PC,third-person,The Stillness of the Wind,76
305,                                        PlayStation 3,third-person,Burn Zombie Burn,76
306,                                        PlayStation 4,third-person,LawBreakers,76
307,                                        DS,third-person,Star Fox Command,76
308,                                        Dreamcast,third-person,Alien Front Online,76
309,                                        Xbox 360,third-person,Spider-Man: Shattered Dimensions,76
310,                                        PC,third-person,Beyond: Two Souls,76
311,                                        Xbox One,third-person,Plants vs Zombies: Garden Warfare,76
312,                                        Xbox One,third-person,Hunt: Showdown,76
313,                                        iOS,third-person,Kaptain Brawe: A Brawe New World,76
314,                                        PC,third-person,Broken Age,76
315,                                        PlayStation 4,third-person,The Walking Dead: Michonne - Episode 3: What We Deserve,76
316,                                        Switch,third-person,Pode,76
317,                                        iOS,third-person,AXE.IO,76
318,                                        GameCube,third-person,Battalion Wars,76
319,                                        Xbox 360,third-person,"Warhammer 40,000: Space Marine",76
320,                                        Xbox 360,third-person,RoboBlitz,76
321,                                        PC,third-person,Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,76
322,                                        PlayStation 3,third-person,Dead Space 3,76
323,                                        PC,third-person,Sniper Elite,76
324,                                        Xbox,third-person,BloodRayne,76
325,                                        PC,third-person,Super Monday Night Combat,76
326,                                        DS,third-person,The Tale of Despereaux,75
327,                                        iOS,third-person,"Warhammer 40,000: Carnage",75
328,                                        Xbox One,third-person,Strange Brigade,75
329,                                        PlayStation 3,third-person,Back to the Future: The Game - Episode I: It's About Time,75
330,                                        PlayStation 4,third-person,Plants vs Zombies: Garden Warfare,75
331,                                        PlayStation 2,third-person,SkyGunner,75
332,                                        Xbox 360,third-person,Sam & Max: Beyond Time and Space,75
333,                                        PC,third-person,Black Mirror III: Final Fear,75
334,                                        PC,third-person,Red Faction: Armageddon,75
335,                                        PlayStation 3,third-person,Heavy Rain Chronicles Episode 1: The Taxidermist,75
336,                                        PC,third-person,Last Day of June,75
337,                                        PC,third-person,Back to the Future: The Game - Episode V: OUTATIME,75
338,                                        PC,third-person,Dreamfall: The Longest Journey,75
339,                                        PlayStation 4,third-person,Etherborn,75
340,                                        PlayStation 2,third-person,Army Men: Air Attack 2,75
341,                                        PC,third-person,Two Worlds II,75
342,                                        iOS,third-person,Max Payne Mobile,75
343,                                        Xbox,third-person,kill.switch,75
344,                                        PC,third-person,Rogue Company,75
345,                                        PlayStation 4,third-person,Last Day of June,75
346,                                        DS,third-person,Elebits: The Adventures of Kai and Zero,75
347,                                        PC,third-person,Transformers: War for Cybertron,75
348,                                        PC,third-person,Downfall,75
349,                                        PC,third-person,Heavy Rain,75
350,                                        PC,third-person,Spider-Man: The Movie,75
351,                                        PC,third-person,Iron Brigade,75
352,                                        PlayStation 4,third-person,Concrete Genie,75
353,                                        PC,third-person,Uplink: Hacker Elite,75
354,                                        PlayStation 2,third-person,BloodRayne,75
355,                                        PlayStation 2,third-person,Transformers,75
356,                                        PC,third-person,Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,75
357,                                        Xbox 360,third-person,Gears of War 3: Fenix Rising Map Pack,75
358,                                        PC,third-person,Still Life,75
359,                                        PC,third-person,Ode,75
