,platform,genre,title,score
226,                                        PC,adventure,The Wolf Among Us: Episode 5 - Cry Wolf,84
227,                                        iOS,adventure,The Silent Age,84
228,                                        PlayStation 2,adventure,Escape from Monkey Island,84
229,                                        Switch,adventure,To the Moon,84
230,                                        iOS,adventure,Broken Sword - The Smoking Mirror: Remastered,84
231,                                        iOS,adventure,Jacob Jones and the Bigfoot Mystery : Episode 1,84
232,                                        iOS,adventure,Gears,84
233,                                        Switch,adventure,Grim Fandango Remastered,84
234,                                        Xbox One,adventure,Lair of the Clockwork God,84
235,                                        iOS,adventure,Detective Grimoire,83
236,                                        PC,adventure,Detention,83
237,                                        PlayStation Vita,adventure,Hakuoki: Kyoto Winds,83
238,                                        iOS,adventure,Ozone,83
239,                                        iOS,adventure,realMyst,83
240,                                        iOS,adventure,The Wolf Among Us: Episode 1 - Faith,83
241,                                        PC,adventure,Clannad,83
242,                                        iOS,adventure,Samurai II: Vengeance,83
243,                                        DS,adventure,Ghost Trick: Phantom Detective,83
244,                                        Xbox 360,adventure,The Wolf Among Us,83
245,                                        Xbox One,adventure,Forgotton Anne,83
246,                                        PlayStation Vita,adventure,Steins;Gate,83
247,                                        PC,adventure,Four Last Things,83
248,                                        iOS,adventure,Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,83
249,                                        PC,adventure,The Blackwell Epiphany,83
250,                                        3DS,adventure,Retro City Rampage DX,83
251,                                        PC,adventure,Muv-Luv Alternative,83
252,                                        PC,adventure,Danganronpa 2: Goodbye Despair,83
253,                                        Switch,adventure,Horace,83
254,                                        PC,adventure,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,83
255,                                        iOS,adventure,Brothers In Arms 2: Global Front,83
256,                                        iOS,adventure,Max Adventure,83
257,                                        PlayStation 3,adventure,Steins;Gate,83
258,                                        iOS,adventure,Burly Men at Sea,83
259,                                        PC,adventure,Quern - Undying Thoughts,83
260,                                        PlayStation 4,adventure,Death Mark,83
261,                                        iOS,adventure,6th Planet,83
