,platform,title,score,genre
35,no platform,Residue,82,movie
36,no platform,House of Hummingbird,82,movie
37,no platform,"Bloody Nose, Empty Pockets",82,movie
38,no platform,Da 5 Bloods,82,movie
39,no platform,Sorry We Missed You,82,movie
40,no platform,Black Bear,82,movie
41,no platform,Sound of Metal,82,movie
42,no platform,Bacurau,82,movie
43,no platform,The Climb,82,movie
44,no platform,A Thousand Cuts,81,movie
45,no platform,Make Up,81,movie
46,no platform,The Truffle Hunters,81,movie
47,no platform,Premature,81,movie
48,no platform,The Go-Go's,81,movie
49,no platform,One Night in Miami,81,movie
50,no platform,76 Days,81,movie
51,no platform,Coup 53,80,movie
52,no platform,Totally Under Control,80,movie
53,no platform,Cane River,80,movie
54,no platform,She Dies Tomorrow,80,movie
55,no platform,Desert One,80,movie
56,no platform,White Riot,80,movie
57,no platform,Disclosure,80,movie
58,no platform,"A White, White Day",80,movie
59,no platform,Mank,80,movie
60,no platform,Jezebel,80,movie
61,no platform,The Forty-Year-Old Version,80,movie
62,no platform,Bad Education,79,movie
63,no platform,Feels Good Man,79,movie
64,no platform,La Llorona,79,movie
65,no platform,Fourteen,79,movie
66,no platform,The Assistant,79,movie
67,no platform,A Shaun the Sheep Movie: Farmageddon,79,movie
68,no platform,The Nest,79,movie
69,no platform,Les Misérables,78,movie
70,no platform,The Painter and the Thief,78,movie
71,no platform,Kajillionaire,78,movie
72,no platform,All In: The Fight for Democracy,78,movie
73,no platform,An Easy Girl,78,movie
74,no platform,"Crazy, Not Insane",78,movie
75,no platform,Beyond The Visible: Hilma af Klint,78,movie
76,no platform,Spontaneous,78,movie
77,no platform,The Social Dilemma,78,movie
78,no platform,Robin's Wish,78,movie
79,no platform,i'm thinking of ending things,78,movie
80,no platform,My Darling Vivian,78,movie
81,no platform,The Personal History of David Copperfield,77,movie
82,no platform,A Secret Love,77,movie
83,no platform,Corpus Christi,77,movie
84,no platform,Buoyancy,77,movie
85,no platform,The Twentieth Century,77,movie
86,no platform,Human Nature,77,movie
87,no platform,Babyteeth,77,movie
88,no platform,Marona's Fantastic Tale,77,movie
89,no platform,Incitement,77,movie
90,no platform,The Mole Agent,77,movie
91,no platform,Relic,77,movie
92,no platform,The Trial of the Chicago 7,76,movie
93,no platform,We Are Little Zombies,76,movie
94,no platform,The Whistlers,76,movie
95,no platform,Mucho Mucho Amor,76,movie
96,no platform,The Wild Goose Lake,76,movie
97,no platform,Red Penguins,76,movie
98,no platform,Howard,76,movie
99,no platform,Shirley,76,movie
0,no platform,PEN15: Season 2,93,music
1,no platform,City So Real,93,music
2,no platform,Better Call Saul: Season 5,92,music
3,no platform,My Brilliant Friend: Season 2,92,music
4,no platform,BoJack Horseman: Season 6.5,91,music
5,no platform,The Last Dance: Season 1,90,music
6,no platform,Visible: Out on Television: Season 1,89,music
7,no platform,A Parks and Recreation Special,89,music
8,no platform,Lenox Hill: Season 1,87,music
9,no platform,The Baby-Sitters Club (2020): Season 1,87,music
10,no platform,Mrs. America: Season 1,87,music
11,no platform,I May Destroy You: Season 1,86,music
12,no platform,The Crown: Season 4,85,music
13,no platform,I Hate Suzie: Season 1,85,music
14,no platform,P-Valley: Season 1,85,music
15,no platform,Unorthodox: Season 1,85,music
16,no platform,Immigration Nation,85,music
17,no platform,Little America: Season 1,85,music
18,no platform,Between the World and Me,84,music
19,no platform,The Good Lord Bird,84,music
20,no platform,The Good Fight: Season 4,84,music
21,no platform,One Day at a Time (2017): Season 4,84,music
22,no platform,Feel Good (2020): Season 1,83,music
23,no platform,Sex Education: Season 2,83,music
24,no platform,RAMY: Season 2,83,music
25,no platform,The Midnight Gospel: Season 1,82,music
26,no platform,Normal People: Season 1,82,music
27,no platform,I'll Be Gone in the Dark,82,music
28,no platform,The Plot Against America: Season 1,82,music
29,no platform,Kingdom of Silence,82,music
30,no platform,Cheer (2020): Season 1,81,music
31,no platform,Central Park: Season 1,81,music
32,no platform,The Boys: Season 2,80,music
33,no platform,Atlanta's Missing and Murdered: The Lost Children: Season 1,80,music
34,no platform,Never Have I Ever: Season 1,80,music
